userName,score,at,content
Yi shun shin,5,2025-12-10 11:43:00,"Terima kasih PLN dengan adanya aplikasi ini sangat memudahkan untuk kami para masyarakat awam yg ingin melakukan pengaduan atau keluhan, sukses PLN semakin maju"
arie illupi,5,2025-12-10 11:42:33,semakin keren
Irul Arwani,5,2025-12-10 11:40:57,sangat membantu sekali
Inna Inna,5,2025-12-10 11:40:56,"""⭐️⭐️⭐️⭐️⭐️ Aplikasi PLN Mobile sangat membantu saya dalam melakukan transaksi listrik! Mudah digunakan, cepat, dan aman. Saya bisa membayar tagihan listrik, mengecek penggunaan listrik, dan bahkan mengajukan permohonan listrik baru dengan mudah. Terima kasih PLN! 👍"""
baihaqi muhammad,5,2025-12-10 11:39:46,pln mobile sangat membantu
Psd Wkwk,5,2025-12-10 11:39:43,sangat membantu👍
Andie Sikut,5,2025-12-10 11:39:24,"Aplikasi yang sangat bermanfaat, mudah digunakan untuk tua dan muda, terimakasih PLN mobile"
Indra Saputra,5,2025-12-10 11:39:12,PLN mantap Nyale3...
Fahri Fahry,5,2025-12-10 11:38:41,sangat membabtu mantap
Nadhira Amalia,5,2025-12-10 11:38:23,"Fitur lengkap, mulai dari pembelian token sampai cek tagihan. Semua bisa dari HP, ga perlu repot"
Warjono Chnl,5,2025-12-10 11:37:53,"Jauh dari berguna dgn aplikasi sebelumnya, sekarang kurang respon. Diminta upgrade kita sudah penuhi tetapi tidak juga langsung proses upgradenya. Tolong di upgrade donk biar aplikasi ini benar benar dipakai dan berguna untuk pelanggan PLN, jangan mubazir ngeluarin aplikasi dengan biaya mahal tapi cuma sampah di google play"
mifta amelia wahab,5,2025-12-10 11:37:10,"pln mobile sangat membantu saya untuk melakukan tambah daya tanpa ribet,mantap"
Anton Irawan,5,2025-12-10 11:35:18,Alhamdulillah baik pelayanan nya
Atila Syamsul Hakim,5,2025-12-10 11:35:12,"aplikasi PLN Mobile Sangat Bermanfaat,terima Kasih"
Sammy,5,2025-12-10 11:34:48,PLN Terbaik
IQBALL,5,2025-12-10 11:33:32,Mantap.
Kwirino,5,2025-12-10 11:33:16,sangat memuaskan layanannya
nunu nugroho,5,2025-12-10 11:33:12,pelayanan jadi lebih cepat
Revy Marisca,5,2025-12-10 11:30:31,"Mobile PLN makin mudah digunakan. Tampilan rapi, fitur lengkap, dan responnya cepat. Semoga terus ditingkatkan!"
agus p,5,2025-12-10 11:29:05,aplikasi pln mobile semakin hari semakin mudah
Musakkir S,5,2025-12-10 11:27:56,pln terbaik🙏🏻
Sodikin Sodikib,5,2025-12-10 11:25:11,sangat bagus
Edi Junaedi,5,2025-12-10 11:23:45,makasih petugas pln
Seni Seniwaty,5,2025-12-10 11:23:29,Pln mobile selalu ada yg menarik
Kak Lanaa,5,2025-12-10 11:23:02,Sangat bagus
Nathaniel putra hari,5,2025-12-10 11:22:12,aplikasi pln mobile sungguh mempermudah dan mudah dlm penggunaannya bravo pln
kandy kenzo,5,2025-12-10 11:21:07,terimakasih pln mobile sngat2 membantu
Sulistia fitri Asim,5,2025-12-10 11:19:03,makin mantap dan hebat
Yoga nata,5,2025-12-10 11:19:02,"Terimakasih PLN sudah memberikan segala layanan dengan mudah dan cepat, dan di tambah adanya aplikasi PLN mobile jadi tidak telfon 123 lagi 👍"
Tohari AmSHTER,5,2025-12-10 11:18:52,top cer
novia damayanti,5,2025-12-10 11:18:44,"Bagus & keren, saya merasa terbantu dengan adanya aplikasi ini."
Nando,5,2025-12-10 11:17:42,sangat baik
Riky Nofandi,5,2025-12-10 11:16:53,lebih mudah beli token di aplikasi PLN MOBILE
Andi Andidaen,5,2025-12-10 11:15:27,Hanya kamu yg membuat ku semagan beli token listrik
Rachmawati Hamid,5,2025-12-10 11:14:42,"Terima kasih PLN Mobile layanannya berkwaalitas, dapat promo menariknya bervariasi, bayar listrik dapat promo menariknya. hanya di PLN Mobile👍"
Mukhamad Rokhim,5,2025-12-10 11:13:49,sangat membantu masyarakat dalam jenis kelistrikan dan laporan sangat cepat..
haleyora opdisthpsbb,5,2025-12-10 11:13:48,pln terbaik penjelasan jelas trom pak pln
Adelia,5,2025-12-10 11:12:17,"layanan lebih cepat,praktis dan mudah👍👍"
Achmad Syaibani,5,2025-12-10 11:11:49,Mudah baik
Putriwi Auria,5,2025-12-10 11:11:37,luar biasa
Saiful Firman,5,2025-12-10 11:09:55,mantab
Anisatul Qudsi,5,2025-12-10 11:09:27,selalu nyaman dan mudah menggunakan aplikasinya
Alehandra Rajata,5,2025-12-10 11:08:08,aplikasinya tang sangat bermanfaat
anis -,5,2025-12-10 11:08:06,ok
Wiwin Wiwin,5,2025-12-10 11:07:00,sangat memudah kan sekali
