userName,score,at,content
Dani Sudrajat,5,2025-12-10 09:29:43,aplikasi pln mobile memang mantap👍👍👍
Nurud Taufik,5,2025-12-10 09:29:25,aplikasi joss
ghofur irfan,5,2025-12-10 09:29:06,dengan PLN Mobile semua jadi mudah
Otong Nana,5,2025-12-10 09:29:04,masalah listrik cukup dari rumah sambil ngopi gak perlu tlpn sana sini..
aldie Trisnanta,5,2025-12-10 09:28:58,terbaik
joe vita,5,2025-12-10 09:28:57,lebih muda dan cepat.
Nunung Krewol,5,2025-12-10 09:26:26,makin mudah untuk laporan gagguan
akmal hamimkoda,5,2025-12-10 09:25:41,pln mobile mantaap
Yonas Rahayan,5,2025-12-10 09:25:39,pln mantap God Sukses terus pln
Vanesha Anastasia,5,2025-12-10 09:23:40,"sangat membantu dlm pelaporan gangguan listrik,bisa isi pulsa,ubah daya,info promo,dll."
Ujang Ilyas,5,2025-12-10 09:22:58,"mau beli token, bayar listrik atau pengaduan gangguan listrik jadi lebih mudah dengan Pln mobile.."
India Sera,5,2025-12-10 09:22:49,sangat memudahkan
Apkt Jailolo,5,2025-12-10 09:22:29,trimakasih
Boby Putra Pratama,5,2025-12-10 09:22:26,Makin gercep beli token dan biaya admin murah
PutraFajar Anugraha,5,2025-12-10 09:22:05,membantu saya dalam membeli token
Seni Nurjiah,5,2025-12-10 09:21:44,oke juga
Bocil Nowil,5,2025-12-10 09:21:44,terbaik👍
Achmad Andha sp,5,2025-12-10 09:21:16,aplikasi yang sangat bagus 👍
NOVI SOFIA,5,2025-12-10 09:21:15,pln mobile jos mantap
Irfan Pratama,5,2025-12-10 09:21:02,mantap joss
Budi Santoso,5,2025-12-10 09:21:00,terimkasih atas pelayanan cepatnya🙏
Reski Yulianto,5,2025-12-10 09:21:00,Aplikasinya bagus
Ahmad Arifal,5,2025-12-10 09:20:42,cukup bagus untuk mengecek rekening listrik dan update informasi terbaru dari PLN. mungkin bisa ditambahkan fitur untuk pengingat seperti alarm tagihan listrik via SMS atau Whatsapp
Adrian Firdaus,5,2025-12-10 09:20:28,pelayanan yg baik
Agung Priyono,5,2025-12-10 09:20:13,aplikasi yang sangat bagus memudakan pelangan saat ada ganguan kelistrikan
Satpam PLN Majene,5,2025-12-10 09:20:11,sangat membantu
Ayu Mi,5,2025-12-10 09:20:02,sangat membantu🙏
PLN PEDAN,5,2025-12-10 09:19:52,"Terimakasih pln mobile,, aplikasi yg sangat membantu banyak pelanggan dari fitur yg di hadirkan seperti : pemadaman listrik,cek tagihan listrik,pengajuan PB dan TD dan banyak promo"
emil minyoc,5,2025-12-10 09:19:39,semakin mudah semakin baik
Ridwan Aziz,5,2025-12-10 09:19:29,Terima kasih PLN dengan aplikasi ini sangat membantu 👍👍👍
Sulbi Sulbi,5,2025-12-10 09:19:15,sangat memuaskan
chaniaa Chen,5,2025-12-10 09:18:33,aplikasinya sangatt membantu sekali
Akbar Kantor,5,2025-12-10 09:18:01,"PLN Mobile benar-benar mempermudah urusan listrik. Cek tagihan, beli token, hingga layanan gangguan semuanya dalam satu aplikasi. Keren, terus tingkatkan pelayanannya!"
marel roy adhani kurniawan,5,2025-12-10 09:17:50,👍🏻
Dhe Ivana,5,2025-12-10 09:17:30,"Pake aplikasi ini makin memudahkan hidup,,the best pokonya 😁..👍👍"
Soedahto But,5,2025-12-10 09:17:11,respon sif
TRI BUDI HARTO,5,2025-12-10 09:16:43,"Aplikasi sangat membantu, thanks for all"
Nur Anggraini,5,2025-12-10 09:16:11,mempermudah sesuatunya
Tirta Anggara,5,2025-12-10 09:15:53,terbaik
Alba bal,5,2025-12-10 09:13:39,terbaik
Fendi Apriyanto,5,2025-12-10 09:13:04,"pelayanan semakin baik, petugas ramah dan sopan"
Mul Yadi,5,2025-12-10 09:12:39,sangat membantu..
Diat Sugianto,5,2025-12-10 09:12:34,membantu mengatasi masalah kelistrikan
Binti Fatikha,5,2025-12-10 09:12:13,sangat membantu
Yu Nus,5,2025-12-10 09:12:01,PLN PELAYANAN TERBAIK
Kus Nanto,5,2025-12-10 09:11:53,pln mobile memang mantep wes lah
Mardiyono,5,2025-12-10 09:11:19,pln mobile sangat terbaik
Iksan Rusdi,5,2025-12-10 09:10:49,aplikasi yang sangat membantu
Izomiddin,5,2025-12-10 09:10:44,praktis dan mudah dan memudahkan.
Ryan Taufiq,5,2025-12-10 09:10:41,"Dengan ada aplikasi PLN Mobile semua jadi mudah, joss"
Anggi Lesmana,5,2025-12-10 09:10:13,"mantapp ,, penanganan cepatt👍🏻"
Asas Gelu,5,2025-12-10 09:10:02,dengan pln mobile semua masalah kelistrikan mudah teratasi
Hend Ri,5,2025-12-10 09:09:59,Pln mobil terbaik..sangat membantu dan memudah kan kami dalam segala hal yg berhubungan dgn PLN..terima kasih PLN mobile...
Roisul Hafid,5,2025-12-10 09:09:33,sangat baik
Mahmuri Maualana,5,2025-12-10 09:09:23,sangat membantu sekali respon pelayanan memuaskan
Rudi PLN,5,2025-12-10 09:08:55,pln mobile memang top.
Chres Latukolan,5,2025-12-10 09:08:08,PLN mobile mantap
Desi mustika,1,2025-12-10 09:07:59,pengaduan pengggunaan token yang biasanya 200rb sebulan ini jadi 400rb sebulan padahal pengunaan biasa saja seperti biasa. sudah membuat laporan ke cs pln mobile tapi tidak ada sama sekali tindak lanjut. aduan offline juga malah nyuruh lapor ke aplikasi pln mobile jadi ini pengaduan komplen harus kemana ?
Martina Hombing,5,2025-12-10 09:07:33,pln mobile ini bagus dan sangat membantu..
Syifa Fidela,5,2025-12-10 09:07:31,aplikasi sangat bermanfaat mempermudah kan kita melakukan transaksi peluang pulsa kWh terimakasih ULP rayon Rajapolah playanan sangat responsif
Dama Yanti,5,2025-12-10 09:06:39,handal terpercaya
Muh Makki,5,2025-12-10 09:06:31,cepat dan handal
Elika Velda Agti,5,2025-12-10 09:06:11,"Dengan PLN Mobile semua jadi lebih mudah, terima kasih PLN"
Dwi yanti,5,2025-12-10 09:05:19,mudah dan respon cepat
M.fikri Alamsyah,5,2025-12-10 09:04:33,"pelayanan cepat, langsung dipasang hari itu juga"
Dana Indra,5,2025-12-10 09:04:21,memudahkan pembayaran listrik dengan admin yang mudah...
verif haley,5,2025-12-10 09:04:16,Makin Iyezzz 👍
Mukhammad Ardiansyah,5,2025-12-10 09:04:15,sangat membantu masyarakat terkait dengan masalah kelistrikan
Annur Fathurr,5,2025-12-10 09:03:59,makin oke aja nichhh....
Mohammad ali Ridho,5,2025-12-10 09:03:32,terbaik
Khoirudin,5,2025-12-10 09:02:48,Joss jiss
Yusuf Sugiardi,5,2025-12-10 09:02:37,pelayanan mantap👍👍
Lukman Hakim,5,2025-12-10 09:02:30,pln JosJis
Teguh Prasetyo,5,2025-12-10 09:02:14,dengan PLN Mobile semua pelaporan dan pelayanan tentang listrik semakin mudah dan cepat. terbaik
M Syahrul Fatoni,5,2025-12-10 09:02:12,👍👍siiip
Ka Mil,5,2025-12-10 09:01:58,aplikasi yang sangat membantu
Sahiful Kamawijaya,5,2025-12-10 09:01:52,mudah dan gampang
Dominggus Kondo,5,2025-12-10 09:01:31,aplikasi pln mobile sangat membantu pelanggan untuk laporan online klau adanya gangguan listrik.
Satiman Abdul773,5,2025-12-10 09:01:11,mantap
Damai Sejati,5,2025-12-10 09:00:37,Aplikasi yang mempermudah hidup... Good 👍🏾👍🏾
Dede De,5,2025-12-10 09:00:02,"petugasnya ramah ramah,,, lebih mudah segalanya pake PLN mobile terimakasih PLN mobile"
Kucing Betina,5,2025-12-10 08:59:41,pln mobile memang mempermudah dalam masalah kelistrikan shg semua bisa teratasi dengan mudah
Iwan Setiawan,5,2025-12-10 08:59:28,sangat memudahkan pelanggan
Dhani Digoel,5,2025-12-10 08:59:22,pln mobile sangat membantu dan sangat mudah.....
ginten julio,5,2025-12-10 08:58:55,PLN mobil sangat membantu masalah kelistrikan menjadi lebih mudah
Prayudi Tondako,5,2025-12-10 08:58:31,sangat baik
Edi Pranoto,5,2025-12-10 08:58:20,makin mantab
Galeri Harian,5,2025-12-10 08:57:54,Pelayanan baik selalu lewat PLN mobile
THE DARK,5,2025-12-10 08:57:38,APLIKASI PLN MOBILE SANGAT BERGUNA BAGI PELANGGAN UNTUK MELAPOR GANGGUAN LISTRIK.
Fendik Kristiawan,5,2025-12-10 08:57:20,"Terimakasih PLN, perkembangan teknologi yang memudahkan pelanggan"
S Singgah,5,2025-12-10 08:57:18,sangat membantu pelanggan bila ada kerusakan.
Sakha Ibadil Kiram,5,2025-12-10 08:57:04,Baik.
Meisy Anjelia,5,2025-12-10 08:56:46,pelayan bagus
PLN Topoyo,5,2025-12-10 08:56:19,pln terbaik tidak ada duanya semua bisa di lakukan pembayaran di rumah
Nur Wakit,5,2025-12-10 08:56:16,"Aplikasi PLN Mobile memang mantap,memudahkan pelanggan listrik....🙏"
Ali Makki,5,2025-12-10 08:55:12,"gangguan listrik, cukup laporan lewat aplikasi PLN mobile...."
Pahmi Abrizar,4,2025-12-10 08:54:40,sangat membantu
Angler Boncos Tommo,5,2025-12-10 08:54:23,"Dengan adanya PLN mobile pengaduan makin mudah, cepat dan responsif. Semoga kedepannya makin berkembang dan memberikan pelayanan terbaik.👍"
Mohrifki Fanani,5,2025-12-10 08:54:04,mantap jaya
Eddy Faroidi,5,2025-12-10 08:54:02,Aplikasi mantap banget
Ahmad 9144,5,2025-12-10 08:54:00,ada nya aplikasi inih sangat membantu
tata mustofa2024,5,2025-12-10 08:53:05,Semakin ok adanya aplikasi pln mobile. pelayanan cepat tanggap.ok
muhammad yusuf,5,2025-12-10 08:52:40,aplikasi pln mobile sangat membantu.
Takwa ST,5,2025-12-10 08:51:17,Sangat memuskan dan mantap
Hosnan 123,5,2025-12-10 08:51:14,pln mobile mantap
nanang saputra,5,2025-12-10 08:50:20,sangat memuaskan
Adit 1506,5,2025-12-10 08:49:40,top lah
Amz Muhamad,5,2025-12-10 08:49:19,"Mempemudah pembelian token,dan transaksi lain nya,terimakasih telah membantu memperlancar prosesnya mantap"
Syahrul Gunawan,5,2025-12-10 08:48:42,Mempermudah pelayanan & pengaduan pelanggan. transaksi lainya 👍👍 PLN mantap.👍👍
Abjaz Taurus,5,2025-12-10 08:48:06,Dengan Aplikasi PLN mobile semuanya semakin mudah dan sangat membantu dan cepat dalam proses nya.
Heri Wahyudi,5,2025-12-10 08:47:27,sangat mempermudah pengaduan
Dahlia,5,2025-12-10 08:47:25,cepat dan lebih murah
Richard Seng,5,2025-12-10 08:47:14,aplikasi yang memudahkan akses masyarakat
Maya Mairani,5,2025-12-10 08:46:52,"aplikasinya mudah di gunakan, membantu saya membeli token secara langsung. Memberikan info diskon naik daya, bisa cek kwh pascs batar secara mandiri juga."
Iwan Setiawan,5,2025-12-10 08:46:41,aplikasi pln mobile sangat membatu sekali dalam hal transaksi / pelayanan on line baik tambah daya pasang baru dan laporan gangguan listrik rumah juga banyak info2 lain nya..
Alon Tuaputimain,5,2025-12-10 08:46:14,Baguss aplikasinya mempermudah pengecekan dan pembayaran listrik
Ainur angin,5,2025-12-10 08:46:01,"Mempermudah dan sangat membantu dalam segala dunia kelistrikan, jaga terus pelayanan dan kehandalan terima kasih 🙏... Mohon bantuan untuk swacam jangan hanya 1 kli karena saat salah memasukkan angka stan dan terkirim tidak bisa di swacam ulang. Mohon bantuan untuk bisa swacam ulang. Terima kasih....."
Untung Prayogi Rahman,5,2025-12-10 08:44:54,apk mudah di gunakan & cukup praktis tingkatkan terus untuk pelayanannya😇. terimakasih apk rekomended
Syaiful Zubaidi,5,2025-12-10 08:43:55,pln terbaik.... jaringan listrik aman. semangat.......
Agref Pratama,5,2025-12-10 08:43:50,"Plnmobile sangat inovatif, sukses PLN.............sangat cepat dan sangat membantu masyarakat dan pelanggan PLN."
Khubil Achonk,5,2025-12-10 08:42:15,zosss terus lebih di pahami dan gercef
Deni Surahman,5,2025-12-10 08:42:06,Sangat memudahkan aplikasi nya
Gorontalo 123,5,2025-12-10 08:42:01,PLN mobile lebih tamba keren... Sangat berguna dan juga sangat membantu PLN mobile sungguh luar biasa...
Ari Suseno,5,2025-12-10 08:42:00,Aplikasi yang memudahkan pelanggan
Aril 123,5,2025-12-10 08:41:51,aplikasi pln mobile memudahkan pelanggan beli token
Mumu Muhaemin,5,2025-12-10 08:41:49,"Semenjak pake PLN Mobile, bayar listrik jadi lebih mudah. terima kasih PLN🙏🙏"
Bagia Ari,5,2025-12-10 08:41:21,Permononan tambah daya semakin mudah dengan aplikasi PLN Mobile.PLN Mobile keren 👍
Aqilla Kirana,5,2025-12-10 08:41:15,"Saya sangat puas dengan aplikasi PLN Mobile, sangat mudah digunakan🤩"
Pingko Elpingko,5,2025-12-10 08:41:11,"mantap,, pelayanan yg cept ramah"
Kevin Willy,5,2025-12-10 08:40:20,pas mantapp
Seno Bungas,5,2025-12-10 08:40:16,PLN Mobile mantap
Andre Munich,5,2025-12-10 08:40:14,dengan adanya aplikasi ini sangat membantu sekali apabila ada pengaduan soal gangggua listrik dirumah dll
Nur Husnia,5,2025-12-10 08:39:43,"sangat membantu aplikasi nya, terbaik pln"
Mayang,5,2025-12-10 08:38:25,"pln terbaik, aplikasinya memudahkan saya"
Heru Siswanto,5,2025-12-10 08:38:09,"Pln mobil semakin mudah dan gampang buat keperluan listriknya, bisa tambah daya, bisa pasang baru, beli token, pelunasan tagihan dan lain..."
Asri Widyaguna,5,2025-12-10 08:37:49,"Aplikasinya makin mudah buat pelanggan,respon Petugas sangat cepat,ramah dan sopan.APD juga lengkap dlm melaksanakan tugas."
Putu Nonok,5,2025-12-10 08:37:25,Semua semakin mudah dengan adanya aplikasi pln mobile
IKSPI HT,5,2025-12-10 08:37:23,Aplikasi pln mobil memudahkan pelangan beli token
Adi Arya Pratama (casper),5,2025-12-10 08:36:43,"barusan di update fitur tambahan sudah lumayan banyak,baru tau kalok bisa belanja online juga di PLN MOBILE."
Libra Berlian,5,2025-12-10 08:36:40,terbaik
INDRA PERMANA,5,2025-12-10 08:36:22,"Dulu kalau kau cek tagihan atau beli token harus keluar rumah, sekarang semua bisa dari PLN Mobile. sangat praktis, cepat, dan mudah digunakan. pengaduan juga ditangani dengan baik. Saya merasa terbantu sekali, aplikasi ini benar-benar solusi untuk pelanggan PLN.mantapp"
Ucok Dede,5,2025-12-10 08:36:22,pln mobile aplikasi sangat bangus dan mempermudah dalam transaksi🙏
Yanti Mardjon,5,2025-12-10 08:36:13,aplikasi sangat membantu
Aep Sulaeman,5,2025-12-10 08:35:06,"terimakasih atas pelayanan terbaik nya, bersama PLN mobile sangat mempermudah segala keluhan pelanggan"
jeje jack,5,2025-12-10 08:33:06,PLN mobile sangan membantu kami dalam bekerja Hebat......
Yusuf Henukh,5,2025-12-10 08:32:28,aplikasi sangat berguna untuk lapor gangguan
Arvy Tour & Rentcar Banyuwangi,5,2025-12-10 08:31:44,"Pelayanan lebih cepat,, Petugas Ramah,, semua menjadi mudah pakai PLN Mobile"
arivatoni denhas,5,2025-12-10 08:31:27,mantap top banget
Tutorial Gitar Kidung Pemulihan Tuhan,5,2025-12-10 08:30:35,"Saya Domisili Serang, keluhan nya gagal memasukkan token di KWH. sudah 4 hari tidak di respon oleh kantor pusat PLN !"
Yana Priyana,5,2025-12-10 08:28:47,"alhamdulillah aplikasi nya sangat membantu,semua trnsaksi digital,pengaduan dll ok bgt ,trimakasih sangat membmembantuuu banget👍"
fadly ajah,5,2025-12-10 08:27:53,mantap mempermudah transaksi
Alex lex,5,2025-12-10 08:27:30,lebih mudah untuk pelayanan dalam melapor PLN.. PLN lebih cepat pelayanan nya
Ence Ence,5,2025-12-10 08:26:39,"Mantaf aflikasinya,, mempermudah unuk pelaporannta"
Indah Dwi Nurrohmah,5,2025-12-10 08:25:45,"Mudah digunakan, beli token mudah nggak ribet."
Saparrudin Mentawai,5,2025-12-10 08:25:41,apk ini memudahkan saya untuk melapor gangguan tanpa harus ke kantor pln
Farzana Alika,5,2025-12-10 08:25:38,semakin mudah dengan adanya aplikasi pln mobile
Justein Tanauma,5,2025-12-10 08:25:10,PLN semakin di depan
kholid arkhoni,5,2025-12-10 08:24:42,makin mudah pakai plnmobile
Nurul Hidayati Yahya,5,2025-12-10 08:24:32,mudah cepat dan hemat
Wisnu Saputra,5,2025-12-10 08:24:16,sangat mudah untuk pendaftaran iconet
Achmad Rofiqi,5,2025-12-10 08:23:52,sangat terbantu
Candra Ardiansah,5,2025-12-10 08:23:36,"Dengan adanya PLN mobile,sgala urusan Gangguan dn proses pasang baru leboh Mudah"
Haryadi5 Haryadi,5,2025-12-10 08:23:24,layanan gangguan cepat
Ryan Trio Fendika,5,2025-12-10 08:23:24,pln mobile terbaik
Miftakhul Khoiron nafik,5,2025-12-10 08:23:20,cepat tanggap..
Vivo Metro,5,2025-12-10 08:23:12,"aplikasi sangat mudah di gunakan, kita lebih mudah mengakses info terbaru tentang kelistrikan."
Een Thood,5,2025-12-10 08:22:44,cepat respon
artha suhud,5,2025-12-10 08:22:33,"PLN semakin mantap, pelayanan semakin cepat, terbaiklah"
Oktavianus Tam,5,2025-12-10 08:21:46,memudahka pelanggan menikmati layanan PLN
dawata afnany,5,2025-12-10 08:20:48,pln best *****
Fandiasmoro,5,2025-12-10 08:20:34,Ok Baik
moh yunus,5,2025-12-10 08:20:18,PLN mobile terdepan
Agung Awaludin,5,2025-12-10 08:19:57,"aplikasi terbaik buat layanan listrik, sangat banyak mambantu untuk cek dan bayar tagihan, membeli token listrik, pengaduan gangguan semua tersedia dalam satu aplikasi"
Diotama Saputra,5,2025-12-10 08:19:48,Minta tolong di update min untuk pembeliannya biar gx masukin nomer meter terus waktu beli jadi masukin nomer meternya ada di riwayatnya
Songcin Acin,5,2025-12-10 08:19:13,petugas Rama PLN Mobel keren
Mang Arii,5,2025-12-10 08:17:42,"sangat menuaskan , dancepat"
Moch Ali Lazuardi,5,2025-12-10 08:17:11,PLN sangat membantu sekali luar biasa
Asep Nasihin,5,2025-12-10 08:16:42,Mantap Aplikasi PLN Mobile makin bermanfaat bagi masyarakat.
Angga Mahesa,5,2025-12-10 08:15:16,mempermudah pelanggan saat ada problem 👍
Ari Prasetyo,5,2025-12-10 08:15:02,bagus sekali
Alfan Septian,5,2025-12-10 08:14:33,PLN mobile sangat membantu masalah kelistrikan
Alifa Hidayat,5,2025-12-10 08:13:21,mbantu
Syahrul MN,5,2025-12-10 08:13:11,pantang pulang sebelum terang
Jajang Doang,5,2025-12-10 08:12:27,"untuk pitur yg lain bagus,mudah di gunakan..cuman untuk proses pasang baru sering kendala cek nik supsidi sering eror..."
Par Yanto,5,2025-12-10 08:12:22,bagus
arief nazaruddin,5,2025-12-10 08:11:14,Aplikasinya sangat mudah di gunakan dan sangat bermanfaat
bus saeri,5,2025-12-10 08:11:04,PLN.MOBIL sangat membantu dalam pelayanan PLN
Muhammad Abdul Aziz R.,5,2025-12-10 08:10:27,"pln mobile ini sangat mudah digunakan dan sangat membantu untuk urusan listrik sehari hari, aplikasi nya mantap terus berkembang"
Pungky M.S,5,2025-12-10 08:08:05,PLN Mobile JOSSS 👍🏻
Maria Woga,5,2025-12-10 08:07:44,Aplikasi pln ini sangat membantu kami dalam melaporkan gangguan pemadaman listrik.
Fauzi Muhammadrizal,5,2025-12-10 08:06:29,ok
Riyanti Bugis,5,2025-12-10 08:06:06,"aplikasi sangat bagus,repson juga cepat terima kasih🙏"
Yusuf setiawan,5,2025-12-10 08:06:02,"aplikasinya canggih banget, banyak banget fungsinya ngegampanging banget buat berbagai transaksi listrik"
yusuf suharta,5,2025-12-10 08:05:45,dengan adanya PLN mobile sangat membantu dan memudahkan dalam masalah kelistrikan
ruswanto total,5,2025-12-10 08:03:16,keren...!!
Ilham Agung,5,2025-12-10 08:03:01,mantap makin lengkap dan super mudah👍
Juants thea,5,2025-12-10 08:02:53,cukup membantu.mantap👍
Nizar Maulana,5,2025-12-10 08:01:13,Sangat Bermanfaat👍
Muhlisin Vivo,5,2025-12-10 08:00:22,aplikasi pln mobile mudah di gunakan dan banyak menu lain ny terimakasi buat petugas yg telah memberikan penjelasan kepada kami
Ade Mamanhamdani,5,2025-12-10 07:58:51,masalah kelistrikan pln mobil solusinya
ade kutuk,5,2025-12-10 07:58:25,aplikasi yang bagus...semua urusan listrik bisa selesai...hanya dengan satu aplikasi.....Goood...
Riangunawan Rian,5,2025-12-10 07:58:08,pln mobile sangat memudahkan akurat mantap sangat di percaya pelanggan
Nuril Qomariyah,5,2025-12-10 07:57:52,aplikasi sangat membantu
Ribut Waidi,5,2025-12-10 07:57:22,mantap
Iwan Sukarman,5,2025-12-10 07:57:20,PLN mobile mantap
Abdul Hipnosis,5,2025-12-10 07:57:19,"aplikasi PLN terbaik, sangat membantu,admin tokennya lebih murah,"
Suseno Zeanisa,5,2025-12-10 07:56:09,dengan PLN mobile sangat mudah
Alvaro Raka,5,2025-12-10 07:55:59,sangat baik bagus dan cepat penanganan nya membantu masyarakat.
Sigit Budiarto,5,2025-12-10 07:54:20,pln mobile aplikasi terbaik sangat berguna bagi masyarakat... mantap
Hamdan hesta,5,2025-12-10 07:53:55,"aplikasi ini sangat membantu sekali, dan responnya sangat cepat"
Ali Imron,5,2025-12-10 07:53:37,layanan 24 jam 👍👍
basri 18semulut,5,2025-12-10 07:53:10,"aplikasi yg mudah dalam proses naik daya, pasang baru dan subsidi PLN, dan mudah utk pembelian token listrik dan bayar bulanan..."
Lare Grage,5,2025-12-10 07:53:02,dengan adanya aplikasi pln mobile ini sangat membantu segala urusan listrik terimakasi pln is the best
nurlaila Muntaha,5,2025-12-10 07:52:57,pelayanan nya cepat tanggap
Fallah Ci,5,2025-12-10 07:52:53,dengan adanya aplikasi PLNMOBILE sangat membantu dengan segala hal gangguan kelistrikan terimakasih🙏
Peri Irawan,5,2025-12-10 07:52:50,sangatmembantu dan memudahkan masalh Listrik
